Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,287658184.003989,424464089.897641,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657068.96575,2315437338.08809
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620.20708,8397912509.09679,23963033430.5954,27084497482.8616,30659338880.3786,32996188012.6821,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36572764862.8234
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5567405599.31206,18644723853.5807,17221192466.1918,18172335776.3301,18560861388.6402,16219819017.3607,16914287348.9819,18079075770.6713,20177409351.4329,20201323260.0733,19946496562.9733
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790567051.86778,5788329609.15755,15351972361.1477,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16593720655.6402,15061922801.6271
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,390725626002.866,655448188259.351,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825769.5087
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13245833843.5454,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101300641.87512,2968369991.46729,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2732808556.84172,2748180473.71333,2668495742.88443,2631434363.22693,2841786382.19063
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1768319144.00218,1966503222.76759,1981845740.70615,1703698676.69742
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3654031716.26881,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25808561550.9514
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,12314482085.0878,10566578952.7857,30630912184.7789,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,744773415931.587,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,5591623664.9466
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,914500299.097034,2437982839.63072,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349794.23301,2220978978.17342,2220307368.69593,2380087758.04137
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.05432,1388506726.62093,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10829076801.729
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439703434.71024,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33113887817.9731,77860932151.9302,252251992029.518,267122320056.772,278384332694.3,260541637327.855,243919079437.422,250440149690.846,277034675515.684,297571693064.193,279385487344.492,252940023046.007
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,1211346869600.41,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,47844090709.9908,99886577330.7271,334943871931.746,370921320483.842,382116126448.555,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,429622147.743446,351136568.441921,1023086183.79822,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1192559739.37288,1235400352.2931
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,9349764580.36998,19088046305.7971,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47146004586.6824,50400747050.496,48716960860.0664
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58228,3227927593.04316,15634897272.7645,17693924573.2499,17953617927.2376,17889079957.8792,11885478502.1168,10215989995.0073,11090177747.1315,13670036995.9959,12750339022.9512,10187122341.4051
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,5711687786.75989,15013629658.5671,42762617081.6142,47231651862.8224,50949672205.8222,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,61846895120.7808
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,16577533355.3742,36693712824.7812,36302305578.306,42760237561.3995,48843008580.3616,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21839780971.0268,63169910822.1285,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436569.1489,30565400000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,3038699608.93855,3131096089.38547,3147616201.11732,3158406033.51955,3151910782.1229,3122287932.96089,3116610111.73184,3127908044.69274,3101787709.49721,2595821708.81313
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,9985844486.33365,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24612646487.7213
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,40728950704.6176,61828166496.0941,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138247285815.855,164158739097.623,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328087.282876,551230861.856505,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2430274292.2896,2603540256.91955,2751445573.68009,3012803457.10411,3324615549.09099,3384385216.71609
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,201429629.62963,333470370.37037,501025925.925926,485996296.296296,498296296.296296,520207407.407407,540737037.037037,576229629.62963,519837037.037037,550622222.222222,611537037.037037,504214814.814815
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073675544.80847,24305717541.6371,58029750745.6495,60681537195.7996,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,15239278100.3502,18327764882.4412,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,98808010000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,42978914311.3504,99838543960.0763,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.174,249712999437.254,303080865603.645,365252651278.852
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4817542204.02673,11784927700,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26896660000,24638720000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119406.548331,1045998496.43872,21357343681.8966,22388344123.9916,21948834290.3538,21765453087.4795,13185496881.4055,11240808846.6928,12200913887.6419,13097012189.3995,11417278044.9859,10021856754.4944
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,706370815.584416,2065001626.01626,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,5686579747.53524,23183616045.5168,23020466784.6112,25108615091.9884,26598657880.5486,22881558191.8523,24056487770.898,26857880621.935,30474612057.4484,31045591753.4901,30650285471.7215
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,1114703088.1614,1738100853.05052,4820499924.2539,4886533032.88672,4597532029.70451,4422968339.67584,4063245671.29285,3816022046.82656,4402969225.92165,4665420238.51784,4495679480.96886,3972728948.47088
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166763.285,8242392103.68061,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412,107645054311.876
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..,1058702725.4395,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2738832687.13698,2899226097.62377,3051341335.9516,3126293219.77989,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782.22702,1678239218.26553,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5581371847.61641,5496264766.37285,4533883782.27458
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,141438345513.917,125706651925.557,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255016517537.983,275580448365.235,268508200125.49,269594831987.549
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1269179616913.63,1362248940482.77,2861408170264.6,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2588740901639.81,2789593979064.58,2728870246705.88,2630317731455.26
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3181206304.81514,3447543203.02843,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,5952293765.84468,5080483463.99928,18210308748.2912,17170465294.0332,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16867325126.5423,16874405839.7948,15316826191.5682
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,317083373.524559,782915402.421095,1409694553.90934,1415006238.09509,1375608956.10386,1229460601.92174,1378176868.31568,1484579844.37143,1504909753.28746,1670670668.5939,1812529104.61923,1868086274.822
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,7753540783.62452,3057475335.18846,15107441446.7833,16488403076.3641,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583,15846489610.8073
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1771671206875.68,1943145384190.16,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3356235704119.75,3467498002104.33,3681732583768.5,3975347237442.99,3888326788627.44,3846413928653.71
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,5889174825.487,4983024408.14828,39337314809.9434,41270954737.2459,62823043706.4702,54782847752.5375,49406568432.6711,56165172898.8695,60406382898.5174,67299280679.563,68337537815.7703,68532281805.6722
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,97891092003.4394,130133845586.88,282625610892.477,242043151399.458,238839788899.338,235144949470.797,195604846736.019,193017030649.7,199350781053.185,211945897765.431,205144152830.847,188835201625.91
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1018970364.86443,1068030829.75591,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056,2851610655.92391,3040414278.02236,2982247278.61577,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,278098762.962963,520044370.37037,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061640740.74074,1125685185.18519,1166523555.55556,1212694407.40741,1042100555.55556
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6060000000,6364000000,5844000000
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125217.35253,19288827158.9035,46876114650.4996,49593961141.7484,52996540703.5943,57852399963.7878,62186186575.7433,66053725049.0138,71654134378.5299,73208583758.9105,77020015201.3201,77604632170.5853
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666750685.8495,2995361140.63217,6785137172.77058,7638045254.42864,8376613843.27265,8778473614.54728,8794202443.67366,8595955581.21787,10324668266.5921,11857030336.5252,13513809258.2131,15681050917.1563
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.509785,371095510.047761,1099818651.98114,989271229.637162,1046087417.96916,1054915645.19654,1048229629.42039,1179004941.22904,1350177127.5523,1504630120.99275,1439638443.38133,1431758242.90375
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.291139,712667896.727512,3691384317.52178,4063089191.87525,4167800259.20888,4127659492.02031,4279840193.7046,4482697336.56174,4748174334.14044,4787636237.24043,5173760191.84652,5471256594.72422
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,3096289800,6813577558.17628,13008754110.8113,13708926466.2732,14902474090.615,15139264670.4225,14833154471.7456,13987693738.923,15035560372.6443,16455034352.7671,14785839382.9002,14508218017.4032
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,4923009551.51561,7103826902.2067,17588098574.7369,18400538859.3598,18372173380.7373,19618567249.5003,20833948799.5352,21566622849.6057,22975415842.4648,23900438563.7271,24915522849.1544,23662231633.9139
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290841.8701,171668164082.555,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320837638328.846,341244161576.759,361691522612.745,363016373358.517,346585881503.635
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,47218405892.4258,141999960209.893,128857370476.631,135732595721.853,141078984816.675,125210324613.14,128636108315.474,143136245596.988,160586833778.457,163526491433.29,155808436238.487
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6468736286.92707,9025660361.75842,15221622925.9319,14751508133.5443,16125060515.3117,17867662177.8911,17517210519.0912,20793168030.9524,24728285177.4603,26267063757.5495,24857740445.0401,21718075725.2054
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979026419.633,468394937262.37,1823049927771.46,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2294797980509.01,2651472946374.91,2701111782775.03,2870504096717.77,2660245248867.63
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,106140727357.032,165021012077.81,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,124813263926.225,109591707802.216,580764902917.439,598868460912.847,460293149324.326,432687036177.818,384951479697.42,417983583565.54,445345256459.105,294356680624.658,258245497664.394,203471303952.344
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,180408064516.129,48364250943.9051,185749664444.444,218002481737.691,234637675128.645,228415656174.957,166774109673.732,166602488747.885,187217660050.676,227367469034.031,235097182233.503,166756984395.973
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49305632408.4929,99958806891.4686,238662833333.918,225509709550.982,238211547205.677,258625192663.58,291462799328.949,298725229419.215,334602299873.029,384853685231.018,399122063504.148,425888950992.003
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..,1563667799.61578,6566098381.6696,6690725118.48341,7000748788.49461,7708834951.45631,7085288006.11154,6846691871.45558,6979581724.58172,7491969312.87525,7315388052.08067,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,..,132455662080.298,262293871093.061,258417104163.53,294167366504.266,310944937638.436,300078278118.434,319024417316.889,355277223507.485,373641241440.789,397934596952.56,407100736594.064
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1181222653522.95,1143829832319.88,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875797463583.87,1956950469673.29,2090910879119.33,2009383867307.45,1888709443687.48
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592224067.37194,9005064474.93003,14444655299.8772,14807086889.2099,14264202737.3082,13899228824.2161,14188935947.5694,14077109396.8584,14808989993.3185,15730793852.7913,15830768549.8916,13812425036.5864
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3132817652848.04,4968359075956.59,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5036891740656.35,5148781948478.17,5057758958706.64
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4160003917.43258,8460424400.56418,29524149154.9296,31634561690.1408,34454440140.8451,36847643521.1268,38587017887.3239,39892551126.7606,41408960845.0704,42932112676.0563,44502895915.493,43697659295.7747
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932729102.7371,18291994909.0044,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,166805800595.704,179339994859.384,181667190075.541,171082379532.988
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359162.85631,12705357103.0056,46869457318.2541,56396706005.9435,61671425370.0235,68285768554.472,70120413328.7838,74815121314.9381,82035800868.187,92202956320.532,100555485831.944,101013726529.063
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,39809538.6776989,67254174.3970315,181705153.610056,190243432.813514,185114059.61905,179703165.412383,171117816.66613,178328984.096884,187276124.790591,200157020.642498,188391770.636764,197508774.344505
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,283367525714.932,576178114168.494,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1637895802792.9
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,..,..,6341737193.76392,6163785172.81254,6735731172.79851,7074657898.23303,6295820481.52668,6682832632.27806,7180813375.50836,7878508502.59802,7899879086.43081,7716925356.12536
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427777777.7778,37712842242.5033,154068115942.029,174070382279.385,174161142454.161,162631412508.784,114567298105.683,109419728566.7,120707435542.367,138182400331.126,136196760210.804,105960225688.145
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2675000000,1369688498.06778,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7702934800.12836,8271108638.39931,8871026074.19762,7735976272.75983
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.1639,1731198022.45494,8750107401.57872,10192848926.2582,11983252611.2727,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18897252232.5826,19132635711.6957
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7958852838.93395,27474380566.265,28169902669.3784,30204783461.8488,31345148670.5896,27252128626.6281,28064533352.2849,30408509601.8003,34412210812.2783,34308783825.3019,33707320816.3036
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485353.96187,17260364842.4544,39927125961.2072,44035991893.0218,46909335550.6109,48133414840.4075,50065946086.17,51389318290.8642,53324800958.6119,55276157552.246,51953744507.4091,31735217784.5445
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,596415104.549144,887295267.875155,2579421686.24912,2477702252.80078,2367113170.00373,2441053175.70743,2359759799.04224,2114323793.98266,2306843528.52853,2514146887.91664,2366213068.57507,1875227642.47384
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,..,874000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3201187800
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28901836158.1921,38270206950.41,34699395523.6073,81873662518.8238,65502870173.7831,41142722414.3351,27842131479.8726,26197143268.1243,37883243650.452,52607888717.9487,52091152228.3425,25418916028.8964
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421466239.56234,2483953102.79488,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6268391521.19701,6237264055.20601,6474256118.61481,6839145106.86164,6684443550.01006,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,11524776866.6379,43535051482.3869,42927454291.478,46523420074.4372,48533659592.1728,41418872976.1196,43018087237.5741,47640770634.427,53724663842.5623,54697379017.3332,56546957475.4912
